	AS MFQ AQ	AS MFQ LUM	AS MFQ PQP	AS MFQ PYR	AS PYR AQ	AS PYR LUM	AS PYR MFQ	AS PYR PQP	ATM LUM AQ	ATM LUM MFQ	ATM LUM PQP	ATM LUM PYR	DHA PQP AQ	DHA PQP LUM	DHA PQP MFQ	DHA PQP PYR
918_1_11	-96.34115	-36.67326	14.29423	-63.05082	36.21863	-80.31	-51.09174	-167.404	-99.26466	-23.54798	53.56279	-129.7611	-10.05349	-60.85248	-87.22783	-23.82284
918_2__1	2414.58	3413.537	2666.002	2581.598	3789.605	4085.636	4745.629	3813.931	2172.223	2537.771	2197.043	2534.458	2130.807	2446.643	2514.698	2586.834
918_2__2	2372.275	3185.746	2561.949	2513.388	3541.241	3519.582	4337.991	3784.167	2127.346	2311.857	2115.969	2300.231	2013.0363	2331.723	2355.482	2497.107
918_2__3	2359.04	2759.037	2441.079	2325.457	3501.565	3026.598	3954.516	3391.627	2016.1248	2063.1899	1939.0236	2214.888	2112.6143	2129.918	2235.077	2440.09
918_2__4	2579.342	2199.0911	2385.989	2218.642	3275.872	2240.3704	3425.313	2902.869	1877.9647	1806.5811	1738.6215	2446.768	2169.152	1799.1519	2068.8991	2346.865
918_2__5	2807.569	1485.4994	2337.129	2194	2416.0115	1221.768	2802.351	2323.1451	1602.9095	1404.5226	1558.0458	2203.5767	1604.9655	1237.9748	1706.9361	2057.5699
918_2__6	1694.4617	745.4772	1733.2555	1990.6334	1143.2242	475.7862	1823.8348	1066.28003	804.378	803.349	959.8933	1205.7532	729.2898	552.55856	1185.4832	1405.3158
918_2__7	238.3471	168.33747	646.87783	1188.7378	332.0799	71.11074	727.8556	141.05934	93.80533	246.617515	195.06268	396.44944	208.0056	38.46219	463.6157	482.34812
918_2__8	-83.58173	-89.26931	50.431106	217.90335	157.25352	-143.21608	119.92999	-104.98759	-91.78828	-8.312875	-115.13957	8.58194	-4.67492	-108.17738	-62.62343	-19.87409
918_2__9	-133.09223	-98.49711	28.420566	-112.66414	140.7909	-198.78512	-105.85774	-289.797	-145.27994	-20.349909	-106.24804	-118.93342	-103.80486	-116.11675	-174.54061	-47.803098
918_2__10	-167.37625	-79.07749	36.94902	-128.91491	111.26421	-189.9869	-117.96667	-293.09	-173.09739	-32.083099	12.5086	-219.30852	-67.48713	-111.57532	-181.10651	-31.662628
918_3_1	3567.257	4915.019	3927.178	3815.814	5528.657	5743.064	6822.291	5641.49	3223.061	3638.669	3240.606	3658.883	3116.2543	3544.071	3647.906	3794.572
918_3_2	3578.638	4443.301	3741.852	3604.629	5303.754	4888.752	6215.845	5348.235	3092.6328	3274.1489	3011.4296	3390.694	3140.2033	3364.213	3457.351	3729.459
918_3_3	3732.019	3700.5731	3647.165	3452.858	5014.924	3897.7984	5501.975	4730.428	2928.8027	2907.4791	2782.1845	3571.193	3154.5993	2896.5799	3202.1071	3554.603
918_3_4	4013.932	2743.0544	3517.032	3285.241	4178.5245	2590.938	4680.205	3887.2131	2568.1963	2366.8145	2453.5064	3294.0397	2732.1325	2270.4648	2808.8051	3289.9219
918_3_5	3067.4407	1687.0133	2939.3415	3118.0344	2656.5832	1346.9866	3371.2938	2405.08103	1717.0559	1647.6382	1803.0542	2562.0582	1771.2748	1319.22046	2152.5133	2519.8288
918_3_6	1672.9371	712.30077	1777.92083	2255.3368	1234.7324	421.67834	1982.7476	1125.40344	784.03693	806.850915	909.94758	1243.72114	770.9861	509.77509	1203.5217	1425.40502
918_3_7	176.28997	112.24459	652.643606	1141.93775	397.82522	-17.99748	688.87279	-23.05166	22.35812	234.802725	129.86883	367.06344	161.63438	-26.93172	382.95377	442.38481
918_3_8	-154.61683	-131.67354	73.085896	152.03926	232.2991	-252.89298	53.05506	-230.67359	-165.62101	-16.847994	-156.19376	-80.96548	-62.10856	-158.90022	-156.50211	-27.713878
918_3_9	-229.43338	-135.17037	42.714796	-175.71496	177.00953	-279.09512	-156.94948	-457.201	-244.5446	-43.897889	-52.68525	-248.69452	-113.85835	-176.96923	-261.76844	-71.625938
918_4_1	4773.62	6172.574	5107.081	4907.055	7291.17	7112.234	8700.145	7205.558	4188.3478	4600.9609	4136.0666	4749.346	4243.4213	4576.561	4749.775	5026.924
918_4_2	4951.617	5384.8371	4947.938	4732.03	6817.113	5759.9524	7763.304	6687.036	4005.3107	4118.4381	3854.5905	4746.999	4182.1883	4130.8749	4424.3811	4843.972
918_4_3	5166.609	4244.5364	4778.208	4519.457	5917.5765	4248.366	6756.867	5714.7721	3619.0343	3467.7125	3497.0694	4418.4647	3717.5798	3367.8928	3942.0131	4497.6599
918_4_4	4273.8037	2944.5683	4119.2445	4209.2754	4419.0962	2716.1566	5249.1478	3969.14903	2682.3427	2609.9301	2698.5148	3652.5212	2898.4418	2351.71046	3254.3823	3752.1808
918_4_5	3045.9161	1653.83687	2984.00683	3382.7378	2748.0914	1292.87874	3530.2066	2464.20444	1696.71483	1651.140115	1753.10848	2600.02614	1812.9711	1276.43699	2170.5518	2539.91802
918_4_6	1610.87997	656.20789	1783.686606	2208.53675	1300.47772	332.57012	1943.76479	961.29244	712.58972	795.036125	844.75373	1214.33514	724.61488	444.38118	1122.85977	1385.44171
918_4_7	105.25487	69.84036	675.298396	1076.07366	472.8708	-127.67438	621.99786	-148.73766	-51.47461	226.267606	88.81464	277.51602	104.20074	-77.65456	289.07509	434.545022
918_4_8	-250.95798	-168.3468	87.380126	88.98844	268.51773	-333.20298	1.96332	-398.07759	-264.88567	-40.395974	-102.63097	-210.72658	-72.16205	-219.7527	-243.72994	-51.536718
918_5_1	6146.599	7114.1101	6313.167	6034.456	8804.529	7983.4344	10247.604	8544.359	5101.0257	5445.2501	4979.2275	6105.651	5285.4063	5343.2229	5716.8051	6141.437
